ID,Photo,Title,Brand,Price,URL,Currency,Item_Date,Colors,Materials,Styles,Categories
5342593698,https://images1.vinted.net/t/01_0153c_GT7Ct4SZCV3hXf9zzjqr86Mx/f800/1730978941.jpeg?s=f7e6d01b49874ad4c88c53ba5aabcdb85944f4d8,"Hose ,glänzend",Sonstiges,20.0,https://www.vinted.de/items/5342593698-hose-glanzend,EUR,2024-10-31,,,,
5342553307,https://images1.vinted.net/t/04_00914_yiZx2hGECQSVutHcPzZmsJHs/f800/1730978500.jpeg?s=7aed0d9c3872b2ba1c5d4cd30f6df96dcf2878fc,Marc O` Polo Denim Pufferjacke Mantel Gr. M schwarz,Marc O‘ Polo,55.0,https://www.vinted.de/items/5342553307-marc-o-polo-denim-pufferjacke-mantel-gr-m-schwarz,EUR,2024-10-31,,,,
5342593490,https://images1.vinted.net/t/04_009fe_QTBBgE5WfaK85RSMSDPDGzwT/f800/1730978939.jpeg?s=b76c007d67c22da9ac15f9606adcfadca55cefec,Vintage Halskette mit Uhr Moon°C,Moon˚C Paris,10.0,https://www.vinted.de/items/5342593490-vintage-halskette-mit-uhr-moondegc,EUR,2024-10-31,,,,
5342593560,https://images1.vinted.net/t/04_0003e_Feuwykfb9n6ELF4mwyZfDb7V/f800/1730978940.jpeg?s=a1994625bd4f1dedd0a18eb34f775e3a7d4f8b8a,hübsches Zara-Oberteil,Zara,7.0,https://www.vinted.de/items/5342593560-hubsches-zara-oberteil,EUR,2024-10-31,,,,
5342593545,https://images1.vinted.net/t/04_01080_4ztmnJRnrAvy4dncWRF6QHvV/f800/1730978940.jpeg?s=65e24b36bce93ae19d451c131d990ca9182a1eac,Bluse aus den 2000ern,Street One,6.0,https://www.vinted.de/items/5342593545-bluse-aus-den-2000ern,EUR,2024-10-31,,,,
5342593506,https://images1.vinted.net/t/04_00338_jPkpZ8UDCgZtDRzGBSW8PbVV/f800/1730978939.jpeg?s=a7eb76c6e42cc271b25b8278e88579dd0fa6726f,Set Pullover 💙,H&M,5.0,https://www.vinted.de/items/5342593506-set-pullover,EUR,2024-10-31,,,,
5342593530,https://images1.vinted.net/t/04_0045f_pcj5igucfksuQ6Dg8aJJWCyv/f800/1730978939.jpeg?s=3063bc62bd4f17ddca2fb3e0b01c5d9769e5e20e,Skihose Schneehose grau Größe 134,Yigga,2.0,https://www.vinted.de/items/5342593530-skihose-schneehose-grau-grosse-134,EUR,2024-10-31,,,,
5342593623,https://images1.vinted.net/t/04_00b86_yyqMbemeNZFUCtBQUiH2XiBH/f800/1730978941.jpeg?s=a1baa47c5a3a1bda6d972cce9cf8352479199159,Glamouröse romantische Ohrringe mit türkiser Perle,Selfmade,2.5,https://www.vinted.de/items/5342593623-glamourose-romantische-ohrringe-mit-turkiser-perle,EUR,2024-10-31,,,,
5342593529,https://images1.vinted.net/t/04_01afe_sD1Bdnhyt3iWockSZSUV6DHP/f800/1730978939.jpeg?s=68d2504341a709e5c2f0693291d6592d963625ae,Damen cardigan 40/42 schwarz strickjacke gina benotti neu fell herbst winter vintage,Gina Benotti,12.0,https://www.vinted.de/items/5342593529-damen-cardigan-4042-schwarz-strickjacke-gina-benotti-neu-fell-herbst-winter-vintage,EUR,2024-10-31,,,,
5342593333,https://images1.vinted.net/t/04_01534_4GW3vsQqGHVypYhNHmoyUTZa/f800/1730978937.jpeg?s=b0dcd1369819bd74c4b232c710d49e5acd290b7d,Kapuzen Hoodie von Superdry,Superdry,5.0,https://www.vinted.de/items/5342593333-kapuzen-hoodie-von-superdry,EUR,2024-10-31,,,,
5342593396,https://images1.vinted.net/t/03_012bd_aieTaGxB64UL64h6BuYVNyWH/f800/1730978938.jpeg?s=b24c8eb847cf792f6f13be1c58f0f48b9341bbbc,Corset Kleid weiß,Gina Tricot,2.0,https://www.vinted.de/items/5342593396-corset-kleid-weiss,EUR,2024-10-31,,,,
